date;home_team;away_team;home_team_fifa_rank;away_team_fifa_rank;home_team_total_fifa_points;away_team_total_fifa_points;home_team_score;away_team_score;tournament;country;home_team_result;home_team_goalkeeper_score;away_team_goalkeeper_score;home_team_mean_defense_score;home_team_mean_offense_score;home_team_mean_midfield_score;away_team_mean_defense_score;away_team_mean_offense_score;away_team_mean_midfield_score
05/12/2019;Qatar;Saudi Arabia;55;67;1398;1351;0;1;Gulf Cup;Qatar;Lose;;72.0;;;;71.5;66.3;72.2
19/11/2019;Brazil;South Korea;3;39;1715;1466;3;0;Friendly;United Arab Emirates;Win;89.0;74.0;85.8;87.3;86.2;72.5;73.0;78.5
18/11/2019;Argentina;Uruguay;9;5;1617;1642;2;2;Friendly;Israel;Draw;81.0;81.0;82.0;90.3;84.2;84.2;86.0;81.2
15/11/2019;Brazil;Argentina;3;9;1715;1617;0;1;Superclásico de las Américas;Saudi Arabia;Lose;89.0;81.0;85.8;87.3;86.2;82.0;90.3;84.2
15/11/2019;USA;Canada;23;69;1530;1339;4;1;CONCACAF Nations League;USA;Win;76.0;74.0;76.5;74.7;76.8;67.8;73.0;74.0
15/10/2019;Canada;USA;75;21;1322;1545;2;0;CONCACAF Nations League;Canada;Win;74.0;76.0;67.8;73.0;74.0;76.5;74.7;76.8
13/10/2019;Wales;Croatia;23;8;1522;1625;1;1;UEFA Euro qualification;Wales;Draw;75.0;80.0;75.2;72.7;80.0;80.5;82.3;85.5
13/10/2019;Ecuador;Argentina;65;10;1370;1614;1;6;Friendly;Spain;Lose;74.0;81.0;75.5;77.3;76.0;82.0;90.3;84.2
12/10/2019;Denmark;Switzerland;14;11;1584;1604;1;0;UEFA Euro qualification;Denmark;Win;83.0;85.0;80.0;77.7;81.2;79.0;79.7;79.2
12/10/2019;Tunisia;Cameroon;29;53;1493;1409;0;0;Friendly;Tunisia;Draw;72.0;82.0;73.2;74.3;74.2;78.8;75.7;75.8
10/10/2019;Brazil;Senegal;3;20;1719;1546;1;1;Friendly;Singapore;Draw;89.0;77.0;85.8;87.3;86.2;79.5;82.0;78.8
09/10/2019;Germany;Argentina;16;10;1580;1614;2;2;Friendly;Germany;Draw;90.0;81.0;84.8;86.7;85.5;82.0;90.3;84.2
10/09/2019;Argentina;Mexico;10;12;1610;1604;4;0;Friendly;USA;Win;81.0;78.0;82.0;90.3;84.2;77.0;82.0;79.5
10/09/2019;USA;Uruguay;22;5;1548;1637;1;1;Friendly;USA;Draw;76.0;81.0;76.5;74.7;76.8;84.2;86.0;81.2
07/09/2019;Serbia;Portugal;35;6;1477;1631;2;4;UEFA Euro qualification;Serbia;Lose;80.0;85.0;79.2;81.7;82.2;83.0;84.3;85.0
06/09/2019;Costa Rica;Uruguay;44;5;1445;1637;1;2;Friendly;Costa Rica;Lose;87.0;81.0;74.0;69.7;70.8;84.2;86.0;81.2
06/09/2019;USA;Mexico;22;12;1548;1604;0;3;Friendly;USA;Lose;76.0;78.0;76.5;74.7;76.8;77.0;82.0;79.5
06/09/2019;Germany;Netherlands;15;16;1582;1569;2;4;UEFA Euro qualification;Germany;Lose;90.0;83.0;84.8;86.7;85.5;85.5;82.7;83.0
14/07/2019;Senegal;Tunisia;22;25;1515;1501;1;0;African Cup of Nations;Egypt;Win;75.0;71.0;80.8;81.0;78.2;73.0;71.3;75.8
08/07/2019;Ghana;Tunisia;50;25;1423;1501;1;1;African Cup of Nations;Egypt;Lose;69.0;71.0;75.5;78.0;77.8;73.0;71.3;75.8
